first_name,last_name,gender,birth_date,parent,city,address,student_email,parent_email,group,math_t1_1,math_t1_2,math_t1_3,math_t1_end,math_t2_1,math_t2_2,math_t2_3,math_t2_end,math_year,physics_t1_1,physics_t1_2,physics_t1_3,physics_t1_end,physics_t2_1,physics_t2_2,physics_t2_3,physics_t2_end,physics_year,chemistry_t1_1,chemistry_t1_2,chemistry_t1_3,chemistry_t1_end,chemistry_t2_1,chemistry_t2_2,chemistry_t2_3,chemistry_t2_end,chemistry_year,biology_t1_1,biology_t1_2,biology_t1_3,biology_t1_end,biology_t2_1,biology_t2_2,biology_t2_3,biology_t2_end,biology_year,english_t1_1,english_t1_2,english_t1_3,english_t1_end,english_t2_1,english_t2_2,english_t2_3,english_t2_end,english_year,history_t1_1,history_t1_2,history_t1_3,history_t1_end,history_t2_1,history_t2_2,history_t2_3,history_t2_end,history_year,geography_t1_1,geography_t1_2,geography_t1_3,geography_t1_end,geography_t2_1,geography_t2_2,geography_t2_3,geography_t2_end,geography_year,literature_t1_1,literature_t1_2,literature_t1_3,literature_t1_end,literature_t2_1,literature_t2_2,literature_t2_3,literature_t2_end,literature_year,sport_t1_1,sport_t1_2,sport_t1_3,sport_t1_end,sport_t2_1,sport_t2_2,sport_t2_3,sport_t2_end,sport_year,it_t1_1,it_t1_2,it_t1_3,it_t1_end,it_t2_1,it_t2_2,it_t2_3,it_t2_end,it_year
Grace,Martinez,Female,2010-12-04,Amy Martinez,Seattle,567 Oak St,grace.martinez@example.com,amy.martinez@example.com,group_a,6,3,6,5,4,4,4,4,,5,4,6,5,4,4,5,5,,5,4,3,4,5,4,5,5,,4,6,3,5,4,3,4,4,,4,4,3,4,3,6,3,4,,6,5,5,6,6,4,3,5,,4,5,4,5,5,4,5,5,,5,5,4,5,4,4,6,5,,6,6,5,6,3,4,5,4,,6,6,3,5,6,5,5,6,
Harper,Harris,Female,2010-08-15,Helen Harris,San Diego,345 Birch St,harper.harris@example.com,helen.harris@example.com,group_a,5,5,4,5,4,5,4,5,,3,6,6,5,3,3,3,3,,4,6,6,6,6,3,3,4,,6,3,4,5,6,4,3,5,,6,4,3,5,5,6,4,5,,5,4,5,5,4,5,3,4,,5,4,5,5,5,3,3,4,,5,4,6,5,4,4,3,4,,3,4,6,5,3,4,3,4,,6,6,4,6,5,3,3,4,
Henry,Harris,Male,2010-09-16,Steven Harris,Dallas,678 Spruce St,henry.harris@example.com,steven.harris@example.com,group_a,6,6,3,5,6,5,5,6,,5,6,4,5,6,6,6,6,,5,6,5,6,3,6,4,5,,5,3,6,5,6,4,4,5,,5,5,6,6,4,5,5,5,,5,6,6,6,6,4,6,6,,3,5,4,4,4,5,3,4,,5,4,5,5,5,5,4,5,,5,6,6,6,5,4,6,5,,5,4,4,5,4,6,6,6,
Isabella,Thomas,Female,2010-05-30,Susan Thomas,Phoenix,567 Maple St,isabella.thomas@example.com,susan.thomas@example.com,group_a,5,6,3,5,3,5,5,5,,5,4,4,5,3,5,5,5,,6,5,4,5,5,4,5,5,,5,5,5,5,5,5,5,5,,5,3,3,4,3,5,5,5,,6,6,6,6,5,6,6,6,,6,5,4,5,4,4,4,4,,4,4,4,4,3,5,4,4,,5,4,5,5,5,5,4,5,,3,6,5,5,6,4,3,5,
Jacob,Martinez,Male,2010-01-01,Joshua Martinez,Boston,890 Maple St,jacob.martinez@example.com,joshua.martinez@example.com,group_a,6,6,3,5,6,4,6,6,,3,6,5,5,5,3,5,5,,6,4,5,5,4,3,3,4,,3,6,3,4,5,6,3,5,,4,4,3,4,5,6,5,6,,5,6,6,6,4,4,4,4,,6,3,3,4,4,4,3,4,,6,6,5,6,3,4,3,4,,6,5,4,5,3,6,3,4,,5,5,6,6,5,3,3,4,
James,Thomas,Male,2010-06-18,Richard Thomas,Philadelphia,890 Cedar St,james.thomas@example.com,richard.thomas@example.com,group_a,4,6,3,5,5,4,4,5,,5,3,3,4,6,3,6,5,,6,5,6,6,4,4,3,4,,5,6,5,6,5,3,3,4,,4,6,3,5,5,6,4,5,,4,5,6,5,6,4,4,5,,5,5,6,6,4,4,5,5,,3,3,5,4,5,3,5,5,,6,6,5,6,4,5,5,5,,6,3,5,5,6,5,5,6,
Liam,Johnson,Male,2010-01-15,David Johnson,New York,123 Main St,liam.johnson@example.com,david.johnson@example.com,group_a,5,5,6,6,6,4,4,5,,3,4,5,4,5,6,4,5,,4,3,5,4,4,4,6,5,,6,6,4,6,3,4,5,4,,5,5,6,6,6,5,4,5,,6,6,3,5,5,3,5,5,,4,3,5,4,5,4,6,5,,5,6,4,5,5,6,6,6,,5,6,6,6,5,4,4,5,,5,3,6,5,5,4,6,5,
Lucas,White,Male,2010-08-08,Daniel White,San Diego,345 Birch St,lucas.white@example.com,daniel.white@example.com,group_a,5,3,4,4,4,5,4,5,,4,6,5,5,6,3,6,5,,3,5,6,5,6,6,5,6,,6,4,4,5,6,5,5,6,,5,3,3,4,4,4,6,5,,4,4,4,4,5,5,6,6,,5,4,5,5,5,6,4,5,,3,5,5,5,3,6,6,5,,4,3,6,5,3,3,3,3,,3,6,4,5,5,3,5,5,
Mia,Jackson,Female,2010-06-05,Nancy Jackson,Philadelphia,890 Cedar St,mia.jackson@example.com,nancy.jackson@example.com,group_a,6,5,3,5,4,3,5,4,,4,5,5,5,6,4,6,6,,5,6,3,5,4,3,6,5,,3,4,6,5,3,3,3,3,,3,4,3,4,4,5,3,4,,3,6,3,4,4,5,4,5,,5,4,5,5,5,6,3,5,,6,4,6,6,4,5,6,5,,5,4,4,5,5,3,3,4,,6,3,4,5,3,6,4,5,
Michael,Thompson,Male,2010-11-04,Matthew Thompson,San Francisco,234 Pine St,michael.thompson@example.com,matthew.thompson@example.com,group_a,3,3,6,4,3,3,5,4,,6,5,6,6,4,5,5,5,,6,5,5,6,3,5,6,5,,6,5,6,6,5,3,5,5,,5,4,5,5,3,5,5,5,,6,6,3,5,6,4,6,6,,6,3,6,5,3,6,3,4,,4,5,6,5,3,6,6,5,,3,6,5,5,3,6,4,5,,4,6,3,5,4,6,6,6,
Noah,Smith,Male,2010-02-20,James Smith,Los Angeles,456 Elm St,noah.smith@example.com,james.smith@example.com,group_a,4,5,4,5,4,6,3,5,,6,3,3,4,3,4,4,4,,6,6,3,5,5,3,3,4,,4,5,5,5,4,5,5,5,,6,5,3,5,4,4,3,4,,4,4,4,4,6,5,3,5,,6,4,6,6,5,4,3,4,,4,4,4,4,4,4,6,5,,4,6,6,6,5,3,6,5,,6,3,5,5,6,3,3,4,
Oliver,Brown,Male,2010-03-30,Michael Brown,Chicago,789 Oak St,oliver.brown@example.com,michael.brown@example.com,group_a,6,4,6,6,3,6,5,5,,3,6,5,5,3,3,5,4,,3,4,4,4,5,5,6,6,,3,4,4,4,5,5,3,5,,6,4,5,5,3,6,5,5,,6,6,3,5,3,3,6,4,,6,5,4,5,5,3,5,5,,3,5,3,4,4,3,3,4,,4,5,6,5,5,3,5,5,,6,4,5,5,3,3,4,4,
Olivia,Moore,Female,2010-02-15,Patricia Moore,Los Angeles,456 Elm St,olivia.moore@example.com,patricia.moore@example.com,group_a,3,6,4,5,5,4,3,4,,5,6,3,5,6,6,3,5,,3,5,3,4,4,6,5,5,,3,3,5,4,4,5,5,5,,6,6,6,6,4,6,3,5,,5,3,6,5,6,6,4,6,,5,3,5,5,4,5,3,4,,5,4,5,5,4,5,5,5,,3,5,3,4,5,3,4,4,,6,5,3,5,3,4,5,4,
Sophia,Anderson,Female,2010-04-10,Barbara Anderson,Houston,234 Pine St,sophia.anderson@example.com,barbara.anderson@example.com,group_a,5,5,6,6,3,5,5,5,,3,3,4,4,5,4,4,5,,6,3,6,5,5,3,5,5,,6,5,4,5,3,3,6,4,,6,4,6,6,3,6,6,5,,3,3,6,4,6,5,4,5,,6,3,6,5,4,5,3,4,,5,5,6,6,3,5,6,5,,4,4,6,5,6,4,3,5,,6,3,4,5,6,3,4,5,
Victoria,Johnson,Female,2010-01-28,Michelle Johnson,Boston,890 Maple St,victoria.johnson@example.com,michelle.johnson@example.com,group_a,5,4,5,5,3,4,5,4,,6,3,5,5,4,5,6,5,,6,4,6,6,3,3,4,4,,5,3,5,5,6,6,4,6,,5,5,3,5,4,4,6,5,,5,3,6,5,4,4,6,5,,5,3,3,4,3,3,4,4,,3,6,5,5,4,3,4,4,,3,5,6,5,4,5,6,5,,3,5,5,5,5,3,4,4,
William,Anderson,Male,2010-05-12,William Anderson Sr.,Phoenix,567 Maple St,william.anderson@example.com,william.anderson.sr@example.com,group_a,4,3,3,4,3,3,6,4,,4,3,5,4,4,6,5,5,,3,3,4,4,5,5,5,5,,6,5,6,6,5,4,6,5,,6,5,6,6,3,5,3,4,,4,5,5,5,5,6,6,6,,3,5,3,4,5,5,3,5,,4,5,6,5,6,6,6,6,,5,6,6,6,3,3,6,4,,6,4,5,5,6,4,4,5,
Aiden,Parker,Male,2010-01-16,George Parker,New York,123 Main St,aiden.parker@example.com,george.parker@example.com,group_b,4,5,3,4,6,3,3,4,,4,3,5,4,6,6,5,6,,3,3,4,4,5,6,3,5,,3,4,3,4,3,4,5,4,,6,5,4,5,5,3,5,5,,6,3,5,5,6,5,3,5,,3,4,4,4,5,4,3,4,,5,5,6,6,4,4,3,4,,3,3,4,4,3,3,6,4,,4,4,4,4,3,4,3,4,
Aria,Murphy,Female,2010-01-06,Diana Murphy,New York,123 Main St,aria.murphy@example.com,diana.murphy@example.com,group_b,5,4,3,4,4,4,5,5,,3,4,3,4,3,4,4,4,,4,5,4,5,3,5,3,4,,6,3,5,5,6,3,4,5,,6,3,5,5,6,4,6,6,,6,3,4,5,4,5,5,5,,6,6,5,6,5,3,3,4,,5,6,5,6,3,4,3,4,,6,4,5,5,4,5,3,4,,3,4,3,4,5,6,4,5,
Aurora,James,Female,2010-12-05,Marie James,Seattle,567 Oak St,aurora.james@example.com,marie.james@example.com,group_b,4,5,6,5,3,4,6,5,,5,3,6,5,6,3,6,5,,5,5,5,5,6,6,6,6,,4,6,4,5,6,4,6,6,,6,3,6,5,6,3,4,5,,3,6,6,5,4,4,5,5,,6,3,3,4,3,6,5,5,,3,6,3,4,4,3,3,4,,4,4,3,4,4,3,4,4,,6,4,6,6,4,6,5,5,
Caleb,Cox,Male,2010-12-30,Paul Cox,Seattle,567 Oak St,caleb.cox@example.com,paul.cox@example.com,group_b,4,5,6,5,3,3,5,4,,4,3,3,4,4,6,3,5,,4,6,5,5,4,4,4,4,,3,6,6,5,6,6,4,6,,3,5,3,4,4,3,3,4,,4,6,5,5,4,3,3,4,,5,6,5,6,5,3,4,4,,5,4,3,4,4,6,5,5,,3,6,6,5,4,5,3,4,,3,3,6,4,5,5,6,6,
Carter,Adams,Male,2010-03-31,Frank Adams,Chicago,789 Oak St,carter.adams@example.com,frank.adams@example.com,group_b,3,3,3,3,4,4,6,5,,3,4,6,5,3,6,6,5,,4,5,3,4,5,5,5,5,,4,6,4,5,6,4,4,5,,5,4,6,5,5,5,5,5,,3,5,3,4,6,3,4,5,,5,5,6,6,3,4,6,5,,6,5,3,5,5,4,5,5,,6,3,4,5,6,4,6,6,,5,3,5,5,4,5,4,5,
Chloe,Russell,Female,2010-04-11,Joan Russell,Houston,234 Pine St,chloe.russell@example.com,joan.russell@example.com,group_b,4,3,6,5,6,5,5,6,,3,6,4,5,3,4,6,5,,3,3,4,4,6,3,6,5,,6,6,6,6,6,3,6,5,,4,6,3,5,4,3,5,4,,4,5,6,5,5,5,3,5,,3,3,3,3,6,5,3,5,,5,6,5,6,3,4,6,5,,6,4,6,6,4,4,3,4,,4,5,6,5,5,4,4,5,
Daniel,Cook,Male,2010-10-11,Gerald Cook,Austin,901 Elm St,daniel.cook@example.com,gerald.cook@example.com,group_b,4,6,3,5,5,3,4,4,,6,3,4,5,3,3,4,4,,5,4,5,5,4,3,3,4,,6,3,6,5,4,3,6,5,,4,5,4,5,5,4,4,5,,6,3,6,5,4,6,3,5,,6,6,5,6,5,3,3,4,,5,4,6,5,6,4,6,6,,4,6,6,6,4,4,4,4,,6,6,4,6,4,5,5,5,
David,Ward,Male,2010-01-02,Kevin Ward,Boston,890 Maple St,david.ward@example.com,kevin.ward@example.com,group_b,4,3,6,5,6,6,3,5,,4,4,5,5,6,4,4,5,,4,4,5,5,3,6,4,5,,5,3,3,4,5,5,4,5,,4,5,3,4,5,4,6,5,,6,4,4,5,3,3,5,4,,3,4,3,4,5,4,3,4,,6,3,5,5,6,4,5,5,,3,5,5,5,5,4,4,5,,5,6,4,5,5,6,4,5,
Eleanor,Howard,Female,2010-07-20,Judith Howard,San Antonio,012 Walnut St,eleanor.howard@example.com,judith.howard@example.com,group_b,5,4,6,5,4,3,4,4,,5,5,3,5,3,6,6,5,,6,6,3,5,3,6,6,5,,6,6,4,6,4,5,6,5,,6,3,4,5,3,4,3,4,,4,5,6,5,4,6,5,5,,5,4,3,4,6,6,6,6,,5,6,3,5,5,5,4,5,,3,4,3,4,3,6,4,5,,4,3,5,4,5,4,4,5,
Grayson,Lee,Male,2010-02-21,Edward Lee,Los Angeles,456 Elm St,grayson.lee@example.com,edward.lee@example.com,group_b,5,3,3,4,4,3,4,4,,3,5,3,4,3,3,4,4,,5,6,5,6,4,5,3,4,,3,6,4,5,3,3,6,4,,3,3,4,4,6,4,5,5,,6,4,4,5,4,4,4,4,,4,3,4,4,5,3,6,5,,5,3,6,5,3,3,5,4,,6,4,3,5,5,4,6,5,,5,5,4,5,6,4,5,5,
Hannah,Peterson,Female,2010-09-21,Margaret Peterson,Dallas,678 Spruce St,hannah.peterson@example.com,margaret.peterson@example.com,group_b,3,6,5,5,6,6,3,5,,4,4,6,5,3,6,4,5,,5,5,5,5,4,3,6,5,,3,4,4,4,3,6,4,5,,3,3,3,3,3,3,3,3,,4,5,3,4,6,6,5,6,,3,5,3,4,4,5,6,5,,5,3,3,4,6,4,4,5,,4,5,6,5,5,3,4,4,,5,4,4,5,5,6,3,5,
Jack,Nelson,Male,2010-05-13,Jack Nelson Sr.,Phoenix,567 Maple St,jack.nelson@example.com,jack.nelson.sr@example.com,group_b,5,5,3,5,4,5,3,4,,6,4,5,5,6,3,5,5,,6,6,6,6,3,3,5,4,,5,5,5,5,3,3,5,4,,3,5,3,4,4,3,4,4,,5,6,4,5,4,3,6,5,,4,6,6,6,4,5,5,5,,5,4,5,5,5,6,4,5,,3,4,4,4,3,6,4,5,,4,6,5,5,6,5,4,5,
Jackson,Reed,Male,2010-08-09,Charles Reed,San Diego,345 Birch St,jackson.reed@example.com,charles.reed@example.com,group_b,4,5,4,5,3,6,5,5,,5,5,4,5,6,5,3,5,,5,5,6,6,5,6,4,5,,6,4,6,6,4,6,4,5,,3,3,3,3,6,3,5,5,,5,4,4,5,6,3,3,4,,5,5,3,5,6,5,5,6,,6,3,6,5,6,3,4,5,,3,4,6,5,3,4,4,4,,3,5,6,5,3,6,5,5,
Layla,Price,Female,2010-03-26,Shirley Price,Chicago,789 Oak St,layla.price@example.com,shirley.price@example.com,group_b,3,6,3,4,6,4,5,5,,3,4,6,5,4,5,5,5,,3,4,3,4,4,6,3,5,,6,3,3,4,6,5,6,6,,4,3,3,4,4,6,6,6,,5,6,4,5,3,4,3,4,,6,6,3,5,4,4,4,4,,5,6,6,6,5,6,5,6,,4,6,6,6,4,4,4,4,,4,6,3,5,3,6,3,4,
Levi,Rogers,Male,2010-09-17,Albert Rogers,Dallas,678 Spruce St,levi.rogers@example.com,albert.rogers@example.com,group_b,3,3,3,3,6,6,4,6,,6,6,5,6,4,4,3,4,,5,3,4,4,6,5,3,5,,4,4,6,5,4,3,4,4,,6,6,4,6,4,3,4,4,,5,6,3,5,3,4,3,4,,5,5,6,6,3,3,5,4,,5,6,3,5,5,3,4,4,,3,4,3,4,4,6,5,5,,5,6,4,5,3,3,4,4,
Lily,Ramirez,Female,2010-11-13,Ann Ramirez,San Francisco,234 Pine St,lily.ramirez@example.com,ann.ramirez@example.com,group_b,4,6,3,5,3,4,4,4,,4,6,4,5,3,4,5,4,,5,4,6,5,5,4,5,5,,4,6,4,5,5,4,5,5,,4,3,3,4,6,5,5,6,,3,4,4,4,6,3,4,5,,6,5,3,5,4,4,4,4,,6,3,5,5,5,5,5,5,,6,3,5,5,3,6,3,4,,4,4,4,4,4,4,3,4,
Madison,Bennett,Female,2010-06-06,Theresa Bennett,Philadelphia,890 Cedar St,madison.bennett@example.com,theresa.bennett@example.com,group_b,4,5,4,5,3,3,6,4,,6,4,6,6,3,3,6,4,,3,5,6,5,5,6,3,5,,4,5,4,5,3,4,4,4,,6,4,3,5,4,5,5,5,,4,6,6,6,6,5,4,5,,5,5,6,6,4,4,6,5,,5,3,6,5,5,4,4,5,,6,5,6,6,5,6,5,6,,5,4,3,4,5,6,4,5,
Matthew,Stewart,Male,2010-11-05,Arthur Stewart,San Francisco,234 Pine St,matthew.stewart@example.com,arthur.stewart@example.com,group_b,3,4,3,4,3,6,4,5,,5,6,5,6,5,5,3,5,,6,6,4,6,4,3,6,5,,6,5,3,5,4,4,4,4,,5,5,5,5,6,6,4,6,,5,4,4,5,5,4,6,5,,4,4,4,4,4,5,3,4,,3,3,6,4,3,4,5,4,,4,5,3,4,3,6,4,5,,4,6,3,5,4,3,5,4,
Natalie,Torres,Female,2010-01-29,Frances Torres,Boston,890 Maple St,natalie.torres@example.com,frances.torres@example.com,group_b,4,3,5,4,5,6,6,6,,5,6,6,6,4,5,5,5,,4,4,6,5,4,6,6,6,,3,6,6,5,4,3,3,4,,4,5,4,5,4,3,3,4,,5,6,4,5,5,5,5,5,,3,4,5,4,4,5,3,4,,3,5,6,5,5,5,6,6,,4,6,4,5,3,4,6,5,,5,5,5,5,6,5,6,6,
Nora,Ward,Female,2010-08-16,Brenda Ward,San Diego,345 Birch St,nora.ward@example.com,brenda.ward@example.com,group_b,3,4,3,4,6,6,5,6,,3,5,3,4,3,5,6,5,,6,6,3,5,4,5,5,5,,4,4,3,4,6,5,5,6,,3,5,5,5,3,3,5,4,,3,5,6,5,6,5,5,6,,3,6,5,5,5,4,3,4,,5,6,5,6,6,4,6,6,,5,3,6,5,5,4,3,4,,4,6,5,5,5,6,4,5,
Owen,Cooper,Male,2010-07-23,Samuel Cooper,San Antonio,012 Walnut St,owen.cooper@example.com,samuel.cooper@example.com,group_b,5,4,3,4,6,5,4,5,,6,3,5,5,6,5,5,6,,3,3,6,4,3,4,6,5,,3,3,5,4,5,5,5,5,,5,3,4,4,4,5,3,4,,6,5,3,5,4,6,6,6,,6,3,3,4,5,5,6,6,,3,6,6,5,6,5,5,6,,5,5,4,5,3,6,3,4,,6,5,6,6,4,4,4,4,
Scarlett,Hughes,Female,2010-02-16,Gloria Hughes,Los Angeles,456 Elm St,scarlett.hughes@example.com,gloria.hughes@example.com,group_b,5,3,5,5,4,3,4,4,,4,4,3,4,5,5,5,5,,6,4,5,5,3,4,5,4,,5,6,4,5,6,6,4,6,,3,4,4,4,6,5,4,5,,6,6,6,6,4,4,6,5,,4,6,3,5,4,3,5,4,,4,6,5,5,3,6,6,5,,3,6,4,5,4,6,5,5,,3,3,6,4,4,5,4,5,
Sebastian,Bell,Male,2010-06-19,Walter Bell,Philadelphia,890 Cedar St,sebastian.bell@example.com,walter.bell@example.com,group_b,6,6,6,6,3,3,4,4,,5,6,6,6,3,4,3,4,,5,6,5,6,5,6,4,5,,5,3,3,4,3,3,4,4,,6,6,6,6,3,5,5,5,,4,6,5,5,4,4,3,4,,4,6,6,6,3,4,5,4,,4,4,6,5,5,6,3,5,,6,5,5,6,5,4,4,5,,5,5,6,6,5,3,6,5,
Victoria,Griffin,Female,2010-05-31,Rose Griffin,Phoenix,567 Maple St,victoria.griffin@example.com,rose.griffin@example.com,group_b,6,3,6,5,5,6,3,5,,6,6,3,5,3,4,6,5,,5,6,6,6,6,4,5,5,,4,5,5,5,4,3,3,4,,5,3,5,5,5,5,6,6,,5,5,6,6,6,3,5,5,,6,4,4,5,5,4,3,4,,3,6,4,5,6,3,3,4,,6,5,6,6,4,3,4,4,,6,5,5,6,5,6,5,6,
Wyatt,Brooks,Male,2010-04-26,Henry Brooks,Houston,234 Pine St,wyatt.brooks@example.com,henry.brooks@example.com,group_b,5,3,3,4,3,4,3,4,,6,5,6,6,3,3,5,4,,4,4,3,4,6,3,4,5,,3,6,4,5,6,5,3,5,,3,3,6,4,5,6,5,6,,5,6,4,5,6,4,3,5,,3,4,6,5,3,4,5,4,,6,4,5,5,5,3,3,4,,6,5,4,5,3,4,4,4,,5,6,3,5,6,6,4,6,
Zoey,Gray,Female,2010-10-19,Catherine Gray,Austin,901 Elm St,zoey.gray@example.com,catherine.gray@example.com,group_b,5,5,3,5,5,5,3,5,,5,3,5,5,3,4,4,4,,3,5,4,4,5,4,5,5,,4,6,3,5,5,4,5,5,,6,4,3,5,4,6,6,6,,6,6,5,6,6,6,5,6,,5,4,4,5,4,4,6,5,,3,5,6,5,4,5,6,5,,4,6,6,6,4,4,5,5,,3,5,3,4,6,6,3,5,
Alexander,Hayes,Male,2010-05-08,Brian Hayes,Phoenix,567 Maple St,alexander.hayes@example.com,brian.hayes@example.com,group_c,3,5,4,4,3,5,6,5,,3,4,4,4,6,6,3,5,,5,6,4,5,4,5,4,5,,5,3,6,5,5,3,4,4,,3,5,4,4,4,6,5,5,,3,5,4,4,5,6,6,6,,6,6,4,6,3,6,5,5,,5,4,4,5,6,6,5,6,,3,4,3,4,4,4,4,4,,3,5,4,4,5,4,6,5,
